ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
601-60-2545|3512343353675779|Kathleen|Lewis|F|5875 Jamie Cliff|Canton|MS|39046|32.6205|-90.0061|26398|Acupuncturist|1960-03-24|778675665906|adults_50up_female_urban.json
605-57-9819|2250771280619908|John|Baker|M|6974 Hernandez Vista Apt. 712|Island Lake|IL|60042|42.2742|-88.1926|8547|Horticultural consultant|1988-01-06|252406837881|adults_2550_male_urban.json
400-55-8200|4032536952558762|John|Flores|M|8107 Alexandra Fork|Gardnerville|NV|89460|38.9166|-119.7272|23793|Therapist, nutritional|1960-07-12|890336132728|adults_50up_male_urban.json
862-50-4392|3512614993631962|Christopher|Hayden|M|6443 Brandy Circles Suite 663|Pompano Beach|FL|33064|26.2785|-80.1157|425636|Administrator, sports|2003-09-11|713229417227|young_adults_male_urban.json
206-50-2378|3505164078704812|Ann|Yang|F|73965 Timothy Road Apt. 959|Deerfield Beach|FL|33442|26.3124|-80.1412|54913|Sport and exercise psychologist|1986-05-26|482722399661|adults_2550_female_urban.json
481-90-1003|374899071299690|Pamela|Arias|F|8270 Diane Ports Apt. 313|Haverstraw|NY|10927|41.1971|-73.969|11910|Conservation officer, historic buildings|1962-09-05|560025488222|adults_50up_female_urban.json
200-61-4290|6011213688415770|Bradley|Taylor|M|425 Jennifer Knoll|Conyers|GA|30012|33.7192|-84.0021|83685|Patent attorney|1946-06-17|93427943755|adults_50up_male_urban.json
447-86-5974|342355285870635|Abigail|Estrada|F|293 Michael Divide|Spokane|WA|99208|47.7374|-117.4352|342856|Speech and language therapist|1938-02-03|484703645405|adults_50up_female_urban.json
628-64-1702|345964726847461|Donald|Ward|M|2831 Sandra Crossing|Jay|OK|74346|36.4363|-94.7763|7864|Statistician|1991-12-08|390623795161|adults_2550_male_urban.json
051-68-8952|676175645057|Kimberly|Santos|F|010 Tucker Overpass Suite 476|Duck Hill|MS|38925|33.5632|-89.6419|2363|Cartographer|1941-04-14|234454843141|adults_50up_female_rural.json
545-99-8980|6536465333477490|Jason|Perez|M|226 Wayne Ridges Apt. 502|Burlington|NJ|08016|40.068|-74.8454|33540|Engineering geologist|1962-03-12|319910309513|adults_50up_male_urban.json
563-82-8172|4505219405044|John|Walton|M|796 Brooke Groves|New Kensington|PA|15068|40.5616|-79.7129|38785|Marine scientist|1974-01-13|648323059863|adults_50up_male_urban.json
462-31-6713|6011985919817474|William|Hall|M|3978 Warren Valley Suite 895|Fremont|OH|43420|41.3498|-83.1181|30579|Medical illustrator|1953-07-24|126498311592|adults_50up_male_urban.json
116-81-8770|4496163952574777430|Jessica|Moore|F|84877 Reyes Via|New England|ND|58647|46.5128|-102.8358|1142|Buyer, industrial|1995-04-29|943971319216|adults_2550_female_rural.json
084-71-9221|180055798322901|Mark|Johnson|M|9054 Stevenson Mill|Henderson|NV|89014|36.0564|-115.078|264999|Event organiser|1989-02-14|353818478313|adults_2550_male_urban.json
374-37-0532|349344246271235|Lisa|Wright|F|5335 Nancy Land|Ripley|WV|25271|38.809|-81.702|9304|Video editor|1959-09-24|519454343508|adults_50up_female_urban.json
841-75-8876|676262821967|Sydney|Fox|F|578 Kimberly Turnpike Suite 376|Wichita|KS|67213|37.668|-97.3591|409656|Firefighter|1979-09-04|644448684914|adults_2550_female_urban.json
467-29-9520|4666097978550047|Diamond|Cox|F|2962 Gina Brook|Jacksonville|FL|32219|30.4034|-81.7635|847415|Private music teacher|1977-12-14|256032251539|adults_2550_female_urban.json
187-89-2418|6527825463059411|Nancy|Coleman|F|77539 Martin Unions|Chicago|IL|60656|41.9735|-87.8658|2680484|Interpreter|1996-03-06|101162009499|adults_2550_female_urban.json
605-71-7543|4884075538053658|Luke|Woods|M|395 Kayla Streets Apt. 513|Lees Summit|MO|64082|38.8518|-94.3944|96149|Armed forces technical officer|1987-05-20|667475481551|adults_2550_male_urban.json
460-24-1063|4568387027853792|Sherry|Hawkins|F|49241 Thomas Neck|Wichita|KS|67205|37.7639|-97.4269|409656|Financial controller|1988-02-18|953493573182|adults_2550_female_urban.json
706-25-9280|676158306842|Melinda|Shaw|F|167 James Locks Suite 560|Arlington|VA|22206|38.8415|-77.0905|207410|Oceanographer|1962-07-01|530320242227|adults_50up_female_urban.json
359-73-5829|30354105772508|Elaine|White|F|85587 Jason Oval|Pueblo|CO|81007|38.387|-104.7792|151815|Retail manager|1993-08-20|830182651390|adults_2550_female_urban.json
804-61-2441|676102410419|Jacqueline|Mccormick|F|316 Smith Skyway Apt. 611|Manteno|IL|60950|41.2514|-87.8468|12168|Lobbyist|1978-03-29|402160173308|adults_2550_female_urban.json
392-56-1464|4047500045841|Amanda|Davidson|F|70699 Sara Lights|Roswell|GA|30075|34.0408|-84.3859|95251|Insurance claims handler|1975-06-04|870190361887|adults_2550_female_urban.json
639-31-5441|6580363836472248|Jack|Wise|M|0833 Brown Track|Grand Rapids|MI|49534|43.0141|-85.7543|375580|Housing manager/officer|1972-06-21|708116317402|adults_50up_male_urban.json
189-34-4459|4639000453980485|Sean|Stephens|M|2514 Grace Lane Apt. 709|Nedrow|NY|13120|42.9559|-76.1529|2328|TEFL teacher|1952-09-22|229556626514|adults_50up_male_rural.json
510-02-9667|213166881303848|Jamie|Rodriguez|F|150 Parker Islands|Brooklyn|NY|11233|40.6784|-73.9211|2504700|Games developer|1960-07-02|450660095855|adults_50up_female_urban.json
158-48-7196|4253612769878|Jennifer|Townsend|F|579 Freeman Lakes|Wellsboro|PA|16901|41.7373|-77.308|10243|Applications developer|1978-02-06|66809818242|adults_2550_female_urban.json
578-83-8284|3517331571604262|Todd|Wilcox|M|7165 Melanie Greens Apt. 526|Hillsboro|OH|45133|39.1679|-83.6064|23900|Games developer|1947-06-19|748806080129|adults_50up_male_urban.json
513-95-2351|3594541913780499|Katie|Poole|F|93837 Brooke Islands|Mount Vision|NY|13810|42.6068|-75.1264|1149|Development worker, international aid|1951-06-11|989184476631|adults_50up_female_rural.json
837-61-6831|060474146440|April|Jackson|F|53425 Peterson Corners|Kaneohe|HI|96744|21.4228|-157.8115|54247|Surveyor, hydrographic|1962-11-27|155466894214|adults_50up_female_urban.json
738-20-1447|4155109542520|Sharon|Morgan|F|8808 Holland Pine Apt. 072|Columbia|SC|29210|34.0479|-81.1101|333497|Public affairs consultant|1958-08-21|163517225814|adults_50up_female_urban.json
193-27-5028|060429378130|Christian|Harrison|M|32627 Moon Meadow Suite 469|Sylva|NC|28779|35.3481|-83.2031|16111|Legal executive|1965-04-24|557965733507|adults_50up_male_urban.json
881-16-9514|4687749294499318|Christina|Burns|F|66849 Renee Isle Apt. 667|Glen Head|NY|11545|40.8281|-73.6076|12065|Retail banker|1951-04-22|838417290291|adults_50up_female_urban.json
033-25-1240|6011317790534038|Kristen|Ferguson|F|15180 Raymond Harbors|Poulsbo|WA|98370|47.7423|-122.6277|29528|Sound technician, broadcasting/film/video|1997-05-09|12102378352|adults_2550_female_urban.json
256-55-2215|213119388953110|Hayden|Hampton|M|781 Washington Green|Spanaway|WA|98387|47.0732|-122.3943|43173|Chartered legal executive (England and Wales)|1946-05-11|351587118627|adults_50up_male_urban.json
823-11-0353|4608623650460261|Thomas|Delgado|M|7892 Sarah Junction|Alto|MI|49302|42.8243|-85.4256|7585|Civil Service fast streamer|2003-09-23|861735056841|young_adults_male_urban.json
714-19-6984|4350621084015792|Steve|Crawford|M|2981 Anne Ridge|Miami|FL|33135|25.7664|-80.2317|1737737|Purchasing manager|2001-09-21|389306861981|young_adults_male_urban.json
889-55-8700|6550836816821407|Jessica|Perez|F|87143 James Branch|Oregon City|OR|97045|45.3377|-122.57|51359|Toxicologist|1948-04-04|26435754857|adults_50up_female_urban.json
350-95-6409|4070247485798882|Lisa|Brown|F|3815 Elijah Tunnel|Fallston|MD|21047|39.527|-76.4328|11873|Engineer, maintenance (IT)|1980-10-08|146771576972|adults_2550_female_urban.json
465-86-2862|370149384754310|Katie|Morales|F|9478 Brian Via Apt. 463|Dearborn|MI|48124|42.2941|-83.2536|98153|Office manager|1967-07-24|917399229540|adults_50up_female_urban.json
248-62-5741|370458387500772|Wayne|Williamson|M|317 Cody Wells|Big Rapids|MI|49307|43.6897|-85.4797|20112|Careers adviser|1951-10-20|252516589117|adults_50up_male_urban.json
602-91-8198|573331569646|Albert|Williams|M|0193 Mark Avenue Suite 226|Allen|TX|75002|33.0934|-96.6454|93487|Audiological scientist|2002-05-02|625719077506|young_adults_male_urban.json
080-50-4528|4633161408231014|John|Vazquez|M|945 Morse Glen|Elmhurst|IL|60126|41.8927|-87.941|46371|Armed forces training and education officer|1957-01-17|838955070593|adults_50up_male_urban.json
619-86-9383|348190056735269|Zachary|Diaz|M|76352 Rodriguez Run Apt. 228|Palm Coast|FL|32164|29.4861|-81.2045|79437|Mudlogger|1950-09-30|56254685959|adults_50up_male_urban.json
425-42-6938|503849235778|Jeremy|Miller|M|057 Tyrone Fields Apt. 279|Indianapolis|IN|46218|39.8082|-86.1014|910148|Waste management officer|1949-07-02|918466043267|adults_50up_male_urban.json
711-87-5700|4158789891683179|Wesley|Stewart|M|14241 Kelly Valley|Avondale|AZ|85323|33.4321|-112.3438|74817|Restaurant manager, fast food|1929-10-12|976522064859|adults_50up_male_urban.json
427-57-3553|2237174190669543|Tanner|Stewart|M|570 Jonathan Crossing|Shiprock|NM|87420|36.656|-108.7355|11967|Chemical engineer|1982-05-22|545173683097|adults_2550_male_urban.json
092-60-0474|6011301127383186|Mark|Santos|M|03579 Howard Villages Suite 400|Sandy|UT|84070|40.5794|-111.8816|105585|Bonds trader|1951-09-21|71166475892|adults_50up_male_urban.json
794-84-5197|4607824116434241143|Sherry|Kennedy|F|662 Browning Pines Apt. 230|Kihei|HI|96753|20.7441|-156.4475|26892|Physicist, medical|1994-08-26|325912029530|adults_2550_female_urban.json
761-10-1299|6560389515923460|Jeanne|Thomas|F|6453 Corey Meadows Suite 950|Chula Vista|CA|91913|32.6513|-116.9852|239879|Planning and development surveyor|1931-04-18|854843372859|adults_50up_female_urban.json
662-37-1695|2237134631078902|Margaret|Nichols|F|6018 Tracey Harbor Apt. 544|Hollywood|FL|33029|25.9924|-80.4089|420284|Records manager|1947-01-04|920439158870|adults_50up_female_urban.json
247-31-4383|3559736970168520|Sara|Cox|F|75040 Thomas Corner|Lake Jackson|TX|77566|29.0393|-95.4401|28739|Commercial art gallery manager|1960-12-14|358708537122|adults_50up_female_urban.json
408-72-9377|3540952905509579|Tammy|Hernandez|F|472 Sanders Causeway|Jacksonville|FL|32208|30.3937|-81.6889|847415|Occupational psychologist|1984-02-21|227402739653|adults_2550_female_urban.json
621-82-2817|4611954062789088065|Jonathan|Harris|M|17959 Natalie Drive|Allentown|PA|18104|40.6018|-75.5225|166081|Designer, multimedia|1972-08-18|262893519181|adults_50up_male_urban.json
190-43-6393|38250385616278|Michael|Rubio|M|34277 Douglas Island Suite 374|Westminster|SC|29693|34.6965|-83.1535|14215|Education administrator|1967-10-07|862894156686|adults_50up_male_urban.json
693-40-2475|676242079371|Dean|Wood|M|99425 Tiffany Shore Suite 925|Miami|FL|33178|25.8141|-80.3549|1737737|Equities trader|1988-06-12|957572935891|adults_2550_male_urban.json
827-01-9416|378779936427379|Kevin|Chavez|M|161 Brandy Corner|Virginia Beach|VA|23456|36.7341|-76.0359|437994|Film/video editor|1942-10-23|113046200182|adults_50up_male_urban.json
676-82-1207|4010753502462|Valerie|Ramirez|F|123 Mackenzie Crossroad Apt. 320|Fort Smith|AR|72903|35.3427|-94.3784|90141|Surveyor, insurance|1970-06-21|865367602362|adults_50up_female_urban.json
537-97-5272|3509439137085874|Tina|Harris|F|31682 Nicholas Center|Morehead City|NC|28557|34.7253|-76.7531|14429|Scientist, clinical (histocompatibility and immunogenetics)|1997-06-24|678632851928|adults_2550_female_urban.json
215-58-1108|349317844988384|April|Wallace|F|738 Cody Underpass Apt. 704|Manchester|MI|48158|42.1555|-84.0332|7309|Teacher, special educational needs|1999-04-12|434936660667|adults_2550_female_urban.json
314-47-5131|4770053558823481186|Alexander|Peters|M|385 Linda Dale|Orem|UT|84057|40.3134|-111.6953|88528|Social researcher|1956-10-01|538074930721|adults_50up_male_urban.json
606-71-2720|375371564153304|Jill|Smith|F|7063 Christopher Ports Apt. 611|Grand Prairie|TX|75052|32.6605|-97.0311|174375|Therapeutic radiographer|1935-05-16|370794788688|adults_50up_female_urban.json
027-77-4013|30313403779177|Alejandra|Gould|F|306 Lisa Prairie Apt. 004|Inverness|FL|34452|28.7778|-82.3603|32324|Metallurgist|2005-06-29|143955964102|young_adults_female_urban.json
489-19-1582|6011474246847322|Isaac|Clarke|M|65299 Matthew Forges Suite 791|Juliaetta|ID|83535|46.5754|-116.7188|1089|Conservation officer, nature|1970-07-14|893457258898|adults_50up_male_rural.json
163-96-0561|3578903550819966|Joshua|Owen|M|5657 Madison Mission Suite 420|Auburn|NY|13021|42.93|-76.5626|41239|International aid/development worker|1983-04-28|61247522098|adults_2550_male_urban.json
371-11-6061|3567409201675990|Meghan|Johnson|F|34140 Rojas Plain|Kyle|TX|78640|29.9966|-97.8335|42954|Associate Professor|1987-08-19|693154457701|adults_2550_female_urban.json
020-74-1183|4654840000400464545|Marcus|Cruz|M|8752 Sullivan Haven|Annapolis|MD|21409|39.0416|-76.4377|92106|Structural engineer|1961-04-15|663920176745|adults_50up_male_urban.json
881-37-6494|6011576013807956|Oscar|Davis|M|16525 Angela Crest|Oklahoma City|OK|73127|35.4834|-97.6299|640470|Mental health nurse|1974-10-30|363208823458|adults_2550_male_urban.json
024-40-3937|2270717416477634|Robert|Whitaker|M|032 David Mount|Willis|TX|77318|30.4416|-95.5394|28966|Operational investment banker|1962-06-21|62155950357|adults_50up_male_urban.json
371-40-6157|2384446964589243|Michael|Miller|M|81137 Joseph Summit|Holyoke|MA|01040|42.202|-72.6262|39880|Health promotion specialist|2003-07-08|544461939373|young_adults_male_urban.json
610-91-2575|3559144894009468|Gerald|Hodges|M|3924 Castro Row Suite 376|Portland|OR|97224|45.4094|-122.8014|841711|Publishing rights manager|1960-03-28|882263858537|adults_50up_male_urban.json
875-74-7701|4805342519186|Jesse|Henderson|M|7676 Benson Locks Apt. 919|Los Angeles|CA|90001|33.9731|-118.2479|2383912|Community arts worker|1969-08-30|208741373203|adults_50up_male_urban.json
168-49-4148|4993176970856752|Kenneth|Johnson|M|639 Washington Shore Suite 477|Canton|MI|48187|42.332|-83.4695|90173|Quarry manager|1991-05-30|910175304832|adults_2550_male_urban.json
279-05-5824|38025015544946|Amanda|Rivas|F|5256 Tracy Grove Suite 555|Mc Calla|AL|35111|33.2845|-87.1024|16140|Public librarian|1963-10-11|741967780833|adults_50up_female_urban.json
216-31-5543|3520509530727721|Kelsey|Mann|F|6958 Brown Stravenue|Tucker|GA|30084|33.857|-84.216|35921|Surveyor, building control|1994-12-13|924589216415|adults_2550_female_urban.json
754-83-6986|6011366980276447|Kimberly|May|F|50079 Pham Meadows Suite 377|Astoria|NY|11103|40.7627|-73.9149|148476|Psychologist, sport and exercise|1996-05-12|578449473293|adults_2550_female_urban.json
143-36-8045|2349191636950720|Grace|Thompson|F|69156 Moreno Neck|Milford|MI|48381|42.5758|-83.5924|20009|Sales executive|1979-09-17|228242824739|adults_2550_female_urban.json
490-86-0755|676113349028|Daniel|Townsend|M|26924 Davis Alley Apt. 695|Birmingham|IA|52535|40.8626|-91.9534|888|Tree surgeon|1944-10-26|131482575584|adults_50up_male_rural.json
661-89-2860|3564031182879145|Jeffrey|Howard|M|12033 Victoria Rapids Suite 669|Raleigh|NC|27613|35.8949|-78.7051|489514|Forensic scientist|1964-01-06|236885412257|adults_50up_male_urban.json
298-25-9137|4754288463773482|Mark|Nguyen|M|27721 Johnston Via|Double Springs|AL|35553|34.1387|-87.3974|4680|Cabin crew|1977-07-12|173521107450|adults_2550_male_urban.json
048-43-5776|4679924483727|James|Grant|M|793 Valencia Common Apt. 867|Franklin|LA|70538|29.7857|-91.5026|14844|Diagnostic radiographer|1956-03-03|534751025481|adults_50up_male_urban.json
264-64-8821|6011040762969657|Clayton|Curry|M|573 Elizabeth Causeway|Okeechobee|FL|34972|27.4203|-80.9454|43841|Counsellor|1987-05-02|313610993934|adults_2550_male_urban.json
271-10-0131|30191294337028|Jay|Kim|M|9635 Johnson Prairie|Lititz|PA|17543|40.1846|-76.3015|42626|Engineer, manufacturing systems|1973-09-07|229222540118|adults_50up_male_urban.json
678-11-0498|2278456731370016|William|Steele|M|317 Perry Burgs Suite 302|Monterey|CA|93940|36.5802|-121.8443|31621|Civil Service administrator|1992-02-23|936292913182|adults_2550_male_urban.json
219-59-3492|4010149262185|Luis|Moore|M|400 Jones Pine|Eldon|MO|65026|38.3401|-92.5736|11551|Museum/gallery curator|1966-02-25|297790008807|adults_50up_male_urban.json
608-55-6601|503851435803|Sandra|Poole|F|80045 Christopher Island|Eastlake|OH|44095|41.6587|-81.4445|33579|Financial manager|1964-07-24|76977513274|adults_50up_female_urban.json
116-74-5374|3502769347796606|Sarah|Scott|F|2575 Mary Extension Apt. 464|Jacksonville|NC|28546|34.774|-77.3781|91948|Barista|1940-01-30|650201312166|adults_50up_female_urban.json
679-96-8196|6011754182771143|Justin|Wilcox|M|0580 Ashley Skyway|Dale|TX|78616|29.9528|-97.581|7092|Lawyer|1941-12-18|45054675618|adults_50up_male_urban.json
175-52-8060|3550444144294269|Johnny|Soto|M|501 Fuentes Forks|Charlotte|NC|28227|35.1936|-80.6846|790689|Primary school teacher|1952-12-09|565514399614|adults_50up_male_urban.json
426-99-2897|6597042416981429|Shelly|Mcintosh|F|8170 Ruben Club Suite 365|Rancho Santa Margarita|CA|92688|33.6512|-117.5938|43792|Technical author|1964-05-21|169532700560|adults_50up_female_urban.json
232-77-7660|6510541715007608|Angela|Decker|F|1800 Gaines Plaza Suite 284|Cliffside Park|NJ|07010|40.8222|-73.988|23594|Mental health nurse|1979-11-08|499773516768|adults_2550_female_urban.json
106-68-7011|38066721922836|Elizabeth|Lin|F|09215 Shaun Fall Suite 978|Riverdale|MD|20737|38.9601|-76.9147|20684|Environmental education officer|2004-11-11|464699479953|young_adults_female_urban.json
288-89-0892|213120599447694|Nicholas|Ferguson|M|22562 Amanda Mall|Tulsa|OK|74137|36.0284|-95.9306|413574|Chief Operating Officer|1994-10-13|16076011664|adults_2550_male_urban.json
553-05-2437|370162063703557|Lisa|Dyer|F|1676 Ryan Loop|Xenia|IL|62899|38.6697|-88.6379|1612|Designer, blown glass/stained glass|1977-01-12|631285303321|adults_2550_female_rural.json
897-45-8876|6011602536873208|Lisa|Thompson|F|0806 Smith Mill Suite 387|South Bend|IN|46614|41.6255|-86.2433|145459|Chief Strategy Officer|1989-10-22|926927918368|adults_2550_female_urban.json
205-82-4711|5200665848439300|Peter|Hill|M|56089 Clay Lights|San Diego|CA|92128|33.0067|-117.069|1241364|Health and safety adviser|1985-03-25|947320459978|adults_2550_male_urban.json
251-61-6111|3544790583047025|Katherine|Moreno|F|76451 Adam Trafficway|New Britain|CT|06053|41.6867|-72.7908|73240|Art gallery manager|2007-04-01|874586669900|young_adults_female_urban.json
875-16-8937|375473880842741|Alexander|Moore|M|507 Maxwell Fork|Broomfield|CO|80023|39.9619|-105.0148|92337|Educational psychologist|1977-09-12|403783394584|adults_2550_male_urban.json
144-69-5911|2275013524711782|Katrina|Chambers|F|51391 Miller Burg Suite 141|Des Moines|IA|50320|41.5487|-93.5827|222785|Conference centre manager|1984-08-06|3542553542|adults_2550_female_urban.json
265-81-0684|4156993327692689948|Jerome|Dixon|M|92523 Nicholas Center|Wilmington|DE|19805|39.7434|-75.5827|215619|Medical technical officer|1950-10-04|216521224650|adults_50up_male_urban.json
831-06-7192|5541373949125815|Latoya|English|F|436 Clark Meadow Suite 314|Newdale|ID|83436|43.8881|-111.6042|491|International aid/development worker|1963-12-31|308345140781|adults_50up_female_rural.json
431-71-1923|348951463187984|Lauren|Rich|F|02304 Lisa Fords|Spokane|WA|99203|47.6294|-117.4041|342856|Financial adviser|1974-09-07|244009704704|adults_2550_female_urban.json
531-68-3921|2716025092704004|Richard|Sanchez|M|6847 Lisa Run Apt. 602|Cairo|GA|39828|30.8768|-84.2091|18992|Psychologist, forensic|1998-07-12|525336683520|adults_2550_male_urban.json
621-54-6990|4805373808821|Christina|Andrade|F|701 Kenneth Parks|Melbourne|FL|32935|28.1384|-80.6524|139650|Arts administrator|1968-03-23|754328991652|adults_50up_female_urban.json
371-13-8580|3521098636782813|Shawn|Stephens|M|06688 Nancy Estate Suite 904|Calhoun|GA|30701|34.4965|-84.9345|40053|Development worker, community|1933-11-18|186270521229|adults_50up_male_urban.json
689-35-6184|346817922419973|Wyatt|Ramos|M|08083 Hansen Avenue|Poway|CA|92064|32.9756|-117.0402|47904|Waste management officer|1997-07-09|381608811856|adults_2550_male_urban.json
264-68-7472|213148334658671|Sydney|Walters|F|21318 Robert Manors Suite 405|Capon Bridge|WV|26711|39.2802|-78.4644|2655|Trading standards officer|1972-10-17|635157554985|adults_50up_female_urban.json
651-88-4976|4878037825374|Brian|Barnes|M|41557 Jimmy Street Suite 314|Rural Retreat|VA|24368|36.8836|-81.2879|4953|Diplomatic Services operational officer|1963-03-19|923930967034|adults_50up_male_urban.json
685-44-6353|4799443317827300|Guy|Shields|M|6208 Bryan Mill Suite 640|Kimberly|AL|35091|33.7684|-86.8084|2719|Colour technologist|1931-04-06|486757461467|adults_50up_male_urban.json
302-53-6328|4997856525542454|Kristina|Henderson|F|92990 Martin Stravenue Suite 794|Chicago|IL|60610|41.9033|-87.6336|2680484|Armed forces logistics/support/administrative officer|1970-04-12|732006114399|adults_50up_female_urban.json
102-41-4257|2248273868833923|Robert|Flowers|M|25468 Lopez Loop Suite 103|Darien|CT|06820|41.0768|-73.4853|20732|Media planner|1975-10-18|409746082466|adults_2550_male_urban.json
276-83-9088|676143714928|Jennifer|Castillo|F|60012 Gutierrez Heights Suite 096|Exeter|NH|03833|42.9513|-70.9223|20955|Call centre manager|2001-12-01|662647925882|young_adults_female_urban.json
581-11-0105|676216659547|Gerald|Collins|M|01784 Anderson Street|Flushing|NY|11358|40.7606|-73.7968|219342|Recycling officer|2005-03-26|329540723616|young_adults_male_urban.json
708-21-0070|4225898730732169|William|Brooks|M|107 Courtney Springs Suite 117|Virginia Beach|VA|23452|36.8348|-76.0961|437994|Chief Financial Officer|1973-02-22|735355949377|adults_50up_male_urban.json
001-82-2406|340642276434949|Phillip|Gutierrez|M|5053 Porter Overpass|Manchester|ME|04351|44.358|-69.867|2571|General practice doctor|1983-08-08|86240932924|adults_2550_male_urban.json
016-21-8329|373887559875926|Anthony|Cummings|M|2823 Linda Courts Suite 430|Charlevoix|MI|49720|45.2654|-85.2297|9172|Fine artist|1959-12-28|150307885436|adults_50up_male_urban.json
507-59-4576|4332945786740477240|Makayla|Duran|F|728 Doris Hill Apt. 906|Corpus Christi|TX|78413|27.691|-97.3983|306433|Production designer, theatre/television/film|1989-07-09|986243972998|adults_2550_female_urban.json
892-10-0357|676297844299|Jordan|Riley|M|64212 Rodney Parkways|Irvington|NJ|07111|40.7261|-74.2313|53942|Magazine journalist|2000-06-05|665549878306|young_adults_male_urban.json
794-07-2949|4055799915843456512|Matthew|Mcknight|M|3440 Holt Passage|Junction City|OR|97448|44.1988|-123.23|12244|Advertising account planner|1975-12-26|938082722016|adults_2550_male_urban.json
222-10-3922|3594357845907310|Brittney|Martin|F|26421 Luis Greens|Pittsburgh|PA|15227|40.3805|-79.9667|687276|Research scientist (life sciences)|1943-03-12|609776595894|adults_50up_female_urban.json
598-28-7609|4070507095062635|Charlene|Sullivan|F|326 Chavez Alley Suite 980|Plano|TX|75074|33.0277|-96.6777|278067|Freight forwarder|1941-03-10|540043651256|adults_50up_female_urban.json
493-66-3959|38752399963695|Renee|Cochran|F|4419 Tina Lake Suite 928|Opa Locka|FL|33055|25.9476|-80.2778|107314|Diagnostic radiographer|1975-05-13|886480264046|adults_2550_female_urban.json
761-78-0293|2351599527478715|Isaac|Rivera|M|31793 Laura Forest|Carmel|IN|46033|39.9744|-86.0829|77123|Hydrogeologist|1974-12-29|544676080905|adults_2550_male_urban.json
393-09-6931|3576502100027864|Elizabeth|Bishop|F|700 Martinez Crossroad Suite 380|La Palma|CA|90623|33.8491|-118.0398|15554|Pharmacist, community|1985-03-18|103909350941|adults_2550_female_urban.json
717-01-5422|4693287927469|Patricia|White|F|3115 Elizabeth Trace Apt. 872|Camp Lejeune|NC|28547|34.6909|-77.3614|21884|Agricultural engineer|1958-11-22|358391282519|adults_50up_female_urban.json
618-25-1590|4494199645962438408|Vincent|Gould|M|7157 Elizabeth Loop|Valparaiso|IN|46385|41.4706|-87.0783|78553|Secretary, company|1949-03-06|5718376382|adults_50up_male_urban.json
456-08-5251|4825110318672070|Heather|Garcia|F|566 Christine Valley Suite 760|London|OH|43140|39.9001|-83.4439|24066|Chief Executive Officer|1951-01-06|368164254999|adults_50up_female_urban.json
734-35-3844|4102655764756657325|Kevin|Woods|M|05068 Mendez Turnpike Apt. 330|Trenton|NJ|08691|40.2197|-74.5939|270100|Veterinary surgeon|1983-11-09|329782282955|adults_2550_male_urban.json
780-90-3045|2267061653730537|Ricardo|Russo|M|907 Cynthia Village|Augusta|WI|54722|44.6947|-91.1232|4016|Pensions consultant|1944-07-02|636294821571|adults_50up_male_urban.json
064-74-6191|2280710661690363|Ryan|Stevens|M|041 Steve Ville Suite 796|Baton Rouge|LA|70815|30.4558|-91.0596|378909|Engineer, electrical|1989-11-20|653281315195|adults_2550_male_urban.json
292-53-7261|676296087494|Jason|Jones|M|98308 Weaver Inlet|Phoenix|AZ|85042|33.3794|-112.0283|1312922|Psychotherapist, child|2008-07-29|933950596757|young_adults_male_urban.json
553-66-8270|4375968686274827|Todd|Young|M|715 Freeman Isle|San Antonio|TX|78240|29.5189|-98.6006|1595797|Therapeutic radiographer|1956-03-01|390790441658|adults_50up_male_urban.json
119-25-3541|6521156781408288|Clayton|Carter|M|9137 Robert Islands Apt. 942|East Bridgewater|MA|02333|42.0315|-70.945|13794|Engineer, technical sales|1964-07-17|118801641206|adults_50up_male_urban.json
584-53-3864|30131915181363|Robert|Pratt|M|7904 Gross Haven|Chicago|IL|60649|41.762|-87.5703|2680484|Therapist, sports|1990-09-18|65548585804|adults_2550_male_urban.json
699-70-1064|349394278911927|Jeffrey|Wilkinson|M|98606 Patricia Village|Hollywood|FL|33027|25.9974|-80.3248|420284|Horticulturist, amenity|1967-10-23|946216946552|adults_50up_male_urban.json
440-82-6991|3511772942067083|Tracy|Peterson|F|240 Dean Neck Suite 957|Merkel|TX|79536|32.4444|-99.9924|4988|Editor, commissioning|1993-09-30|34388783852|adults_2550_female_urban.json
061-26-1369|348617598962241|Leslie|Schultz|M|4194 Shields Forest Apt. 519|Hamburg|NY|14075|42.7334|-78.8389|41937|Teacher, primary school|1982-11-04|90357087054|adults_2550_male_urban.json
140-52-3808|4922777085946|Samuel|Martin|M|95543 Scott Turnpike|Caledonia|MI|49316|42.8187|-85.5244|20074|Education officer, environmental|1977-05-04|262385579460|adults_2550_male_urban.json
649-01-1921|2275769415139850|William|Shaffer|M|37508 Chelsea Gardens|Leesburg|GA|31763|31.6812|-84.1593|23304|Commercial/residential surveyor|1974-10-12|349880257302|adults_2550_male_urban.json
836-41-2452|4243421395796565|Christopher|Smith|M|50064 Wise Stravenue|Houston|TX|77093|29.8617|-95.3403|2906700|Scientist, research (medical)|1976-09-04|338843941094|adults_2550_male_urban.json
175-79-4795|675982862558|Kelly|Goodman|F|706 Crystal Lake|San Francisco|CA|94116|37.7441|-122.4863|805301|Risk manager|1979-08-22|510893858985|adults_2550_female_urban.json
